"day","mean_observed","mean_predicted","mean_bias","mae","rmse"
0,938.95,938.95,0,0,0
1,1050.4,1064.95,14.55,29.05,43.2614146786718
2,1158.95,1175.05,16.1,44.3,60.8070719571334
3,1247.3,1266.4,19.1,45.4,67.5070366702613
4,1323.4,1338.85,15.45,44.65,74.1987196655037
5,1383.75,1385.7,1.95,57.35,83.4886219792853
6,1416.85,1414.45,-2.4,54.2,82.6891770427061
7,1434.65,1421.35,-13.3,60.8,82.3176773238896
8,1433.5,1410.65,-22.85,62.15,78.6578031729847
9,1419.1,1391.7,-27.4,69.8,83.1528712673231
10,1392.9,1366.35,-26.55,64.85,77.7447747440302
11,1356.9,1324.25,-32.65,67.15,83.1351309615857
12,1313.8,1285.8,-28,71.2,91.5478017212866
13,1268.4,1241.25,-27.15,77.55,99.2736118009212
14,1226.7,1188.9,-37.8,87.7,109.568699910148
15,1174.55,1140.2,-34.35,77.65,97.7509590745789
16,1124.75,1087.95,-36.8,82.2,100.523131666299
17,1072.15,1027.7,-44.45,90.15,107.329166585789
18,1021.3,970.7,-50.6,88.9,107.768733870265
19,963.6,917.75,-45.85,76.25,93.3447909633955
20,910.25,863.2,-47.05,71.15,85.1889077286474
21,855.5,803.3,-52.2,70.2,88.5161002304101
22,803.45,750.6,-52.85,71.25,88.6963922603394
23,752.1,703.95,-48.15,67.35,83.3681593895415
24,702.9,656.35,-46.55,64.65,81.6495560306362
25,656.65,609.15,-47.5,68.9,85.6066586195256
26,610.85,563.8,-47.05,68.85,84.8236405726611
27,568.35,519.1,-49.25,63.65,82.3993325215684
28,532.4,482.15,-50.25,61.15,80.7802574890672
29,497.85,444.75,-53.1,64.8,83.2153831932534
30,461.25,411.45,-49.8,59.6,79.3548990296125
31,427.55,380.1,-47.45,62.65,79.4024558814147
32,396.8,350,-46.8,63.7,79.1258491265655
33,368.7,323.35,-45.35,58.95,73.2171428013959
34,342.85,298.6,-44.25,57.85,72.4275500068862
35,316.55,277.25,-39.3,54.2,67.955868032128
36,292.2,256.65,-35.55,50.95,63.5220434180136
37,269.9,236.75,-33.15,49.85,61.6372452337059
38,250.85,220,-30.85,51.95,64.089390697681
39,234,203.4,-30.6,50,62.3458098030654
40,217.9,191.8,-26.1,48.8,59.9024206522575
41,201,177.9,-23.1,47.6,57.9879297785324
42,186.25,165.35,-20.9,44,54.5912080833535
43,172.45,154.15,-18.3,38.7,49.0265234337496
44,159.5,144.75,-14.75,35.35,45.7531419686124
45,148.25,135.35,-12.9,30.8,40.3075675276988
46,136.7,126.9,-9.8,28.6,38.9679355367974
47,127.6,119.05,-8.55,25.65,35.616709561665
48,119.6,111.1,-8.5,23.9,33.5037311355019
49,110.7,102.95,-7.75,23.55,33.3234151911235
50,103.95,96.05,-7.9,22.6,32.5453529708928
51,95.6,90.4,-5.2,21.6,32.7246084774134
52,89.4,83.55,-5.85,23.25,36.2553444336142
53,83.7,78.55,-5.15,22.55,35.1546582973011
54,78.75,73.9,-4.85,22.55,35.3192582028558
55,73.35,70.2,-3.15,22.15,36.248448242649
56,68.4,65.5,-2.9,21.4,35.7966478877562
57,63.35,61.8,-1.55,19.95,33.2633431873587
58,58.65,58.05,-0.6,19.3,33.7668476467674
59,55.6,55.1,-0.5,18.8,32.2536819603592
60,50.75,51.55,0.8,17.7,32.9878765609428
