"sim_id","parameter","true_value","calib_value","error_pct"
1,"contact_rate",9.47441217489541,10.5873042724661,11.746291770159
1,"recovery_rate",0.0943023177678697,0.0993478201954689,5.3503482703564
1,"transmission_prob",0.0378459420758569,0.0428996958411003,13.353489140563
2,"contact_rate",10.3719609160908,10.006769064666,-3.52095283022358
2,"recovery_rate",0.138299914554227,0.139519815998752,0.882069557639818
2,"transmission_prob",0.0383536359553086,0.0376249245782856,-1.89997990769928
3,"contact_rate",6.99996224371716,6.19958622849822,-11.4340047467731
3,"recovery_rate",0.0950914070708677,0.0981040493243227,3.16815403857659
3,"transmission_prob",0.0450396642367576,0.0529912296580819,17.6545841450455
4,"contact_rate",5.03015861380845,4.82230955867947,-4.13205767624123
4,"recovery_rate",0.171814364404418,0.177127807384109,3.09254875057186
4,"transmission_prob",0.0755134181403387,0.0786485843462389,4.15180014772161
5,"contact_rate",11.0805460833944,9.167576158646,-17.2642206471688
5,"recovery_rate",0.0719282593694516,0.0634506364898536,-11.7862199835167
5,"transmission_prob",0.0126640573239595,0.0123416350344715,-2.54596359792191
6,"contact_rate",7.71564196795225,9.10510028922502,18.008330700725
6,"recovery_rate",0.106428690056782,0.121864440028885,14.5033730696747
6,"transmission_prob",0.0322656524442764,0.0327867196358469,1.6149284210832
7,"contact_rate",5.06896871607751,5.10075212699228,0.62701927541925
7,"recovery_rate",0.131064510135911,0.127432814983163,-2.77092185289684
7,"transmission_prob",0.0997401725251705,0.0926718994814643,-7.08668620151274
8,"contact_rate",8.05767125450075,7.39433822489767,-8.23231686490759
8,"recovery_rate",0.151157333666924,0.158801353336873,5.05699557177438
8,"transmission_prob",0.0554946813773332,0.0642495691470989,15.7760843966961
9,"contact_rate",5.1564378850162,4.64053299761225,-10.0050635517805
9,"recovery_rate",0.19532061459031,0.205163599739576,5.03939902601304
9,"transmission_prob",0.0870466238835782,0.0967081805333582,11.0992893448712
10,"contact_rate",8.19382049608976,8.0672126290902,-1.54516280970494
10,"recovery_rate",0.187495654483791,0.192691492629234,2.77117790262812
10,"transmission_prob",0.0567802571243572,0.0618024310576547,8.84492988874323
11,"contact_rate",13.7680772296153,15.681410503363,13.8968807469507
11,"recovery_rate",0.123826640599873,0.130499544801884,5.38890837196599
11,"transmission_prob",0.0347474504854876,0.0341061377629368,-1.84563964719853
12,"contact_rate",10.3666855650954,11.6816987552148,12.6849915709515
12,"recovery_rate",0.188713100354653,0.189515806573381,0.425357973145319
12,"transmission_prob",0.0665017708269064,0.0575921838741472,-13.3975183547359
13,"contact_rate",12.5482117850333,10.2894194088124,-18.0009105274673
13,"recovery_rate",0.0710672406596132,0.0725968145476532,2.15229108917587
13,"transmission_prob",0.017632411884469,0.021320912651939,20.9188668665287
14,"contact_rate",13.2013932266273,12.4019841008081,-6.05549059933139
14,"recovery_rate",0.102432858839165,0.103018954991962,0.57217592034318
14,"transmission_prob",0.0280446221351932,0.0331334037176955,18.1453027178297
15,"contact_rate",13.1063840957358,12.6061616251003,-3.81663216171307
15,"recovery_rate",0.135277813219,0.155679914947953,15.0816318237825
15,"transmission_prob",0.028732861289895,0.0316890426413705,10.288503193781
16,"contact_rate",14.1590431449004,11.7747647760577,-16.8392619786696
16,"recovery_rate",0.140346853609663,0.147232872309128,4.90642898102802
16,"transmission_prob",0.0184283782026858,0.0220288441007632,19.5376167043969
17,"contact_rate",6.72745782881975,9.24338021848406,37.3978173283577
17,"recovery_rate",0.155450290674344,0.164481469340066,5.80968914663669
17,"transmission_prob",0.0659386226391352,0.0498111003440603,-24.4583851612076
18,"contact_rate",14.0573533857241,13.7069222610899,-2.49286700717182
18,"recovery_rate",0.0750267897965387,0.079654137004141,6.16759322923322
18,"transmission_prob",0.0177927733365788,0.0195805981348454,10.0480389675464
19,"contact_rate",12.6395198097453,12.4125138991583,-1.79600106652759
19,"recovery_rate",0.19618198844837,0.196584341991707,0.205091989595689
19,"transmission_prob",0.0241269613436595,0.0243760396408121,1.03236496964858
20,"contact_rate",12.5135699473321,13.5069126007415,7.93812363370471
20,"recovery_rate",0.141921654867474,0.167793473356959,18.2296482616724
20,"transmission_prob",0.0256512497090558,0.0264630603441743,3.1647995490522
