param_type,time,n_param_sets,mean_bias,median_bias,mean_abs_bias,median_abs_bias,mean_relative_bias,rmse,bias_q25,bias_q75
abc,1,932,-0.08261802575107297,0,4.136266094420601,3,0.08843065287281845,5.546429079730551,-3,3
abc,2,932,-0.04935622317596566,0,5.313304721030043,4,0.08307580871025964,9.236984811723854,-4,4
abc,3,932,0.37339055793991416,0,7.253218884120171,5,0.10947642934254366,24.10514343276478,-5,4
abc,4,932,1.1330472103004292,0,10.564377682403434,6,0.2574642528700233,53.31830081423018,-6,5
abc,5,932,-0.9570815450643777,0,12.892703862660944,7,0.13938611634768164,43.328865181769004,-8,6
abc,6,932,-4.290772532188841,-1,15.241416309012875,8,0.061276436978130934,31.859148839962234,-10,6
abc,7,932,-7.207081545064377,-1,18.513948497854077,10,0.053828838109745716,40.493959174347644,-12,7
abc,8,932,-9.25,-2,23.213519313304722,11,0.013172263118974691,52.63204322700124,-13,8.25
abc,9,932,-10.659871244635193,-1,25.314377682403432,13,0.019848803221384093,57.92355662437492,-17,9
abc,10,932,-7.283261802575107,-1,27.48068669527897,13,0.03870291862547452,61.627880931884285,-15,11
abc,11,932,-4.033261802575107,-1,28.71137339055794,15,0.04587889707952505,59.093918483349356,-16,14
abc,12,932,-2.082618025751073,0,29.40021459227468,16,0.047448139226344443,56.493238989299826,-16,16
abc,13,932,-0.7972103004291845,1,29.262875536480685,15,0.08076058986592378,55.89180420083104,-14,15.25
abc,14,932,1.0311158798283262,2,28.050429184549355,17,0.09479827769055402,51.862054980314035,-15,18
abc,15,932,2.371244635193133,2,28.07296137339056,18,0.09580444055849406,47.876181503591184,-16.25,20
abc,16,932,1.0010729613733906,0,25.88733905579399,18,0.09813994242610995,40.542895738338494,-17.25,19
abc,17,932,2.359442060085837,1.5,23.90236051502146,16,0.13354667322090016,35.88409752154319,-14,19
abc,18,932,3.523605150214592,3,22.199570815450645,16,0.13605375534027872,31.614768103400028,-12,19
abc,19,932,3.3036480686695278,2.5,21.973175965665234,16.5,0.15945504055625678,30.26916092336046,-12.25,19
abc,20,932,2.5675965665236054,3,21.32296137339056,16,0.15333515312049684,28.833564877054542,-12.25,18
abc,21,932,3.2982832618025753,3,19.13948497854077,14,0.18282987706025117,26.07750909666595,-11,17.25
abc,22,932,3.1083690987124464,3,19.11051502145923,14,0.18912769730975734,25.945862256636286,-12,16
abc,23,932,2.8454935622317596,2,17.199570815450645,12,0.3011069623002592,23.70717281580524,-11,14
abc,24,932,2.495708154506438,2,16.17167381974249,11,0.2615612353306201,22.555320642154175,-9,14
abc,25,932,0.8133047210300429,1,15.914163090128755,11,0.26469048372392934,22.410623630371063,-11,11
abc,26,932,0.7478540772532188,1,15.434549356223176,11,0.20812583450599648,21.55711547187636,-10,11
abc,27,932,1.159871244635193,1,14.732832618025752,10,0.2654514649481548,20.944772054019822,-9,11
abc,28,932,0.6437768240343348,1,13.255364806866952,9,0.20334993056164896,18.61727703752204,-8,10
abc,29,932,0.3369098712446352,0,13.064377682403434,8,0.2636861449492945,18.947295321496416,-7,8.25
abc,30,932,0.21030042918454936,1,12.431330472103005,8,0.22074906140484646,18.105852324925696,-9,8
abc,31,932,-0.06437768240343347,0,11.781115879828326,7,0.2630022282915166,17.631541187179103,-7,6
abc,32,932,0.490343347639485,0,11.509656652360515,7,0.22214834992994892,17.4526028900988,-6,7
abc,33,932,0.15236051502145923,0,10.84763948497854,6.5,0.22239718992570473,16.278820596099706,-6,7
abc,34,932,0.37660944206008584,0,10.234978540772532,6,0.2868674828633951,15.530635652697027,-6,6
abc,35,932,0.5150214592274678,0,9.540772532188841,5,0.275767171890782,14.86751218109256,-5,6
abc,36,932,0.38090128755364805,0,9.49892703862661,5,0.28508236706571494,15.043677467948342,-5,5
abc,37,932,0.5515021459227468,0,9.373390557939913,5,0.2777661011670753,15.017586257308734,-4,5.25
abc,38,932,0.41738197424892703,0,8.837982832618026,4,0.21257663931753737,14.330667317018875,-4,4
abc,39,932,0.17167381974248927,0,8.618025751072961,4,0.1505663146299998,14.424288053034363,-4,4
abc,40,932,0.6427038626609443,0,8.099785407725323,4,0.28376827801600235,13.740193537753958,-3,4
abc,41,932,0.0611587982832618,0,7.747854077253219,4,0.2675592195856257,13.25245948507044,-4,4
abc,42,932,0.5740343347639485,0,7.7542918454935625,3,0.23743903646326836,13.31489694615378,-3,3
abc,43,932,0.7188841201716738,0,7.17381974248927,3,0.19104664822465608,12.395745497458725,-2.25,3
abc,44,932,0.555793991416309,0,6.948497854077253,3,0.20888065745895143,12.353432564973149,-3,3
abc,45,932,0.4613733905579399,0,6.598712446351931,2,0.1852905482443463,12.07478485044555,-2,3
abc,46,932,0.49141630901287553,0,6.24892703862661,2,0.17255302773809733,11.499206914246408,-2,3
abc,47,932,0.47317596566523606,0,6.196351931330472,2,0.1440972419962249,11.480483532757788,-2,2
abc,48,932,0.6394849785407726,0,5.817596566523605,2,0.14695083090182648,11.06419039120692,-2,2
abc,49,932,0.37124463519313305,0,5.32618025751073,2,0.15807136497413557,10.34262815156501,-2,2
abc,50,932,0.6062231759656652,0,5.320815450643777,2,0.20205505335533608,10.4597634944828,-1,2
abc,51,932,0.8379828326180258,0,5.035407725321888,2,0.19186644858975105,9.814207534380808,-1,2
abc,52,932,0.31759656652360513,0,4.886266094420601,1,0.15393549099409484,9.773617812776116,-1,2
abc,53,932,0.7167381974248928,0,4.478540772532189,1,0.19680974802387594,9.035694595549051,-1,2
abc,54,932,0.5633047210300429,0,4.335836909871245,1,0.16038886716752626,8.931727216667635,-1,1
abc,55,932,0.37875536480686695,0,4.32725321888412,1,0.1893804910705426,8.888496206156976,-1,1
abc,56,932,0.6652360515021459,0,4.218884120171674,1,0.13847289603623553,8.537596730925756,-1,1
abc,57,932,0.5804721030042919,0,4.116952789699571,1,0.19630803104198294,8.581532722227477,-1,1
abc,58,932,0.6384120171673819,0,3.8122317596566524,1,0.17050377262706062,8.425322041450162,-1,1
abc,59,932,0.7950643776824035,0,3.773605150214592,1,0.28265984923059323,8.093936160800089,-1,1
abc,60,932,0.3143776824034335,0,3.6448497854077253,1,0.1537406510394536,7.841030522619611,-1,1
lstm,1,932,-0.11051502145922747,0,3.936695278969957,3,0.0657834878553822,5.131218095309427,-3,3
lstm,2,932,-0.8755364806866953,0,4.920600858369099,4,0.053114820391320344,6.554492611221553,-5,3
lstm,3,932,-2.9603004291845494,-2,6.6427038626609445,5,-0.02570552491113174,9.573579971797114,-7,2
lstm,4,932,-5.28862660944206,-2,9.947424892703863,6,-0.017656212375335816,15.655388903401224,-9.25,3
lstm,5,932,-9.900214592274677,-3,15.314377682403434,8,-0.05343484548166504,25.694035813683488,-16,3
lstm,6,932,-15.21351931330472,-5,22.773605150214593,9,-0.07342650919426016,40.464828685106546,-23,4
lstm,7,932,-22.40665236051502,-6,31.30579399141631,11,-0.08084739703874645,58.41929799032511,-30,3
lstm,8,932,-29.854077253218883,-6,41.19527896995708,15,-0.1054859835162535,75.38211670756735,-38.25,4
lstm,9,932,-36.997854077253216,-7.5,48.8755364806867,17.5,-0.09534134585437977,88.56551126374039,-46,5
lstm,10,932,-37.34871244635193,-8,54.25429184549356,20,-0.09690999310528964,94.88391936733241,-48,7
lstm,11,932,-32.5461373390558,-6,58.47532188841202,24,-0.08539247459742005,99.35312773846785,-47.25,10
lstm,12,932,-26.56008583690987,-5,57.86051502145923,26,-0.06427048499249984,94.76572649674003,-48,11
lstm,13,932,-19.996781115879827,-4,59.21137339055794,30,-0.017925025740951298,96.02015502837838,-44.25,16
lstm,14,932,-14.296137339055795,-2,60.433476394849784,30,0.001689419607595192,96.56549513043159,-41.25,18
lstm,15,932,-11.75,-2,59.19206008583691,29,0.026904936150828646,92.8737721514964,-45,22
lstm,16,932,-8.603004291845494,-2,58.23605150214592,31,0.06649652643765004,89.80900095402751,-43,21
lstm,17,932,-4.997854077253219,-1,55.59656652360515,32,0.12795517650444033,84.61119103327094,-39,23.25
lstm,18,932,-2.3175965665236054,0,51.90987124463519,29,0.16378773238563366,78.18811913742987,-32.25,26
lstm,19,932,-2.709227467811159,0,49.048283261802574,29,0.20237249517598424,72.78016018626366,-38,22
lstm,20,932,-1.5418454935622317,0,45.37017167381974,26,0.25333193795630793,66.47656820392938,-33,22
lstm,21,932,-0.3497854077253219,0,42.72532188841202,26,0.3155266736991954,62.098668546057674,-31,23
lstm,22,932,0.1223175965665236,0,40.006437768240346,23,0.3601856481982759,58.11792436974337,-25.25,22
lstm,23,932,1.650214592274678,1,36.80042918454936,23,0.4467852982891453,53.498766581586466,-23,22
lstm,24,932,2.2854077253218885,1,34.547210300429185,21,0.477797595339423,50.08565624381286,-20,22
lstm,25,932,2.59656652360515,0,32.76609442060086,19,0.5566213767496045,47.545347678157846,-19,20
lstm,26,932,3.757510729613734,2,31.296137339055793,20,0.6290834354289594,45.197468499887066,-17,24
lstm,27,932,4.304721030042918,2,28.759656652360515,18,0.733800393266203,41.85295124476882,-14.25,20
lstm,28,932,4.682403433476395,1,27.23175965665236,17,0.7019059070087308,40.05465686384901,-12.25,20.25
lstm,29,932,4.664163090128755,1,24.86587982832618,15,0.7670193819969848,37.05162562389659,-12,17
lstm,30,932,4.815450643776824,1,23.65236051502146,14,0.7390955120519366,35.08169496886392,-10,17
lstm,31,932,5.958154506437769,1,22.8980686695279,15,0.9700506557334952,34.09805036401069,-8,18
lstm,32,932,6.697424892703863,2,20.88197424892704,13,0.9338598649481824,31.694626614351776,-7,18
lstm,33,932,5.589055793991417,1,19.713519313304722,11,0.9540029656108697,29.779104492541116,-7,16
lstm,34,932,6.304721030042918,2,18.399141630901287,10,0.972614346783676,28.304066345205943,-5,15
lstm,35,932,5.6781115879828326,1,17.23175965665236,10,1.0882341286635326,26.55527072792662,-6,15
lstm,36,932,6.0611587982832615,1,16.237124463519315,9,1.0174109287370867,25.21910424428513,-4,15.25
lstm,37,932,6.217811158798283,2,15.803648068669528,8,1.0809753659993422,24.55656079567308,-4,14
lstm,38,932,5.624463519313305,1,14.67381974248927,7,1.0613170580611138,23.337098613019993,-3,14
lstm,39,932,5.454935622317596,1,13.731759656652361,7,1.0752642960127452,21.729857230984514,-3,12
lstm,40,932,5.186695278969957,1,12.976394849785407,6,1.2027402614861533,20.645900776767288,-2,12
lstm,41,932,5.148068669527897,1,12.641630901287554,6,1.1043652228789487,20.04881382083034,-2,13
lstm,42,932,5.291845493562231,1,11.630901287553648,6,1.03033738819249,18.24552387932178,-2,12
lstm,43,932,4.783261802575107,1,10.78969957081545,5,0.9072280735401801,17.06079762058749,-2,11
lstm,44,932,4.667381974248927,1,10.663090128755364,5,1.2880849259593108,17.374009991247434,-2,9
lstm,45,932,4.197424892703863,1,9.873390557939913,4,1.2359326864537254,16.06371434179952,-2,9
lstm,46,932,4.409871244635193,1,9.283261802575108,4,1.032714392079075,15.127072624280531,-1,9
lstm,47,932,3.837982832618026,0,9.071888412017167,4,1.1404819596405475,14.75046373025305,-2,8
lstm,48,932,3.939914163090129,1,8.570815450643776,3,1.053645147913885,14.264364794980947,-1,8
lstm,49,932,3.772532188841202,0,8.351931330472103,4,1.1325281760916046,13.578021245535227,-1,8
lstm,50,932,3.388412017167382,0,8.081545064377682,4,1.092267265478572,13.213905408218233,-1,7
lstm,51,932,3.359442060085837,0,7.539699570815451,3,1.1400653115977566,12.55609729968439,-1,7
lstm,52,932,3.1695278969957084,0,7.010729613733906,3,1.0595429561715308,11.765228466050674,-1,6
lstm,53,932,3.0536480686695278,0,6.671673819742489,2,1.1583494891418469,11.2951050965288,-1,6
lstm,54,932,2.458154506437768,0,6.082618025751073,2,1.0053102232217506,10.335623217597346,-1,5
lstm,55,932,2.6459227467811157,0,5.978540772532189,2,1.067976111487701,10.267557975541987,0,5
lstm,56,932,2.592274678111588,0,5.828326180257511,2,0.9795810762622774,10.179715587483772,-1,4
lstm,57,932,2.4334763948497855,0,5.626609442060086,2,1.061650020027465,9.925905759688362,0,5
lstm,58,932,2.48068669527897,0,5.289699570815451,2,1.0137575762357067,9.328184253070233,0,5
lstm,59,932,2.310085836909871,0,4.956008583690987,2,1.1547255324984376,8.878592182414446,0,4
lstm,60,932,1.8379828326180256,0,4.636266094420601,1,0.9972069233908487,8.356270293551072,0,3
